# pTt1,etat1,phit1,Et1,pTt2,etat2,phit2,Et2,pTh,etah,phih,Eh,ttmass,ttHmass,HT,dphi_tt,,HTb,tmass,Hmass
24.4062,3.36217,5.16975,386.6,101.857,0.208412,4.35347,202.515,123.811,-0.372163,5.31066,191.493,439.912,673.003,563.288,0.816274,,274.468,158.749,138.266
144.946,-1.08946,0.551931,295.579,33.3517,-2.3116,3.31275,230.965,136.063,-0.161967,4.28094,176.871,369.015,588.7,531.553,2.76082,,387.263,172.783,110.817
106.906,0.139959,5.06944,200.715,115.583,1.39351,2.55435,301.296,63.7045,-0.272913,4.00088,144.421,439.001,595.022,404.881,2.51509,,272.836,169.211,128.411
41.3085,1.61338,1.19743,190.123,148.921,-1.70584,4.58815,449.054,259.245,-0.295297,1.62685,298.478,555.375,846.297,872.449,2.89247,,564.115,156.613,125.889
324.318,-1.09215,0.773856,563.285,201.668,-1.02673,3.30793,355.938,368.527,-0.7298,3.9902,484.652,593.109,991.434,702.34,2.53408,,529.87,167.681,113.802
194.735,1.20909,3.10314,391.695,312.48,0.211322,5.77605,362.501,139.562,1.12184,2.34992,272.054,639.965,861.692,582.398,2.67291,,360.659,164.918,133.605
310.324,1.31139,0.0832302,641.312,286.444,0.969806,3.53612,464.582,282.188,1.07728,3.51587,481.855,691.813,969.891,624.043,2.83029,,457.322,172.541,135.56
52.2004,-1.15553,2.47402,210.38,129.743,0.177258,6.16187,222.749,267.826,-0.557371,4.11143,339.759,420.666,712.76,1174.28,2.59534,,504.249,189.63,137.898
54.7877,-1.45053,2.86915,204.267,237.573,0.656043,0.321705,337.646,85.2891,-0.235361,2.78337,143.809,502.56,667.781,550.47,2.54745,,347.503,162.881,114.001
141.154,1.33564,3.66386,331.395,115.461,1.18156,5.98349,256.421,95.036,0.796023,5.92734,186.266,397.294,565.819,613.085,2.31963,,435.86,165.818,136.471
183.385,-2.232,2.0008,879.936,107.944,-0.516755,3.80224,204.866,76.439,-1.37731,1.40875,198.361,570.389,708.331,608.916,1.80145,,392.008,165.259,115.661
192.348,-1.97909,5.25014,729.692,130.469,-0.41632,2.82687,217.065,164.37,-0.441857,2.97073,212.731,578.518,798.752,646.38,2.42327,,384.719,171.642,112.294
167.602,2.51345,5.82528,1059.46,194.191,1.78937,2.4725,628.282,168.468,2.33922,5.46469,889.879,555.86,762.224,487.275,2.9304,,276.056,194.159,118.984
274.608,-0.434027,3.12476,348.233,213.29,1.40693,1.57912,492.262,144.114,1.30957,1.42285,317.853,707.504,928.301,815.362,1.54564,,384.933,175.318,137.88
56.8441,1.43726,0.316049,210.257,247.53,-0.537925,1.07268,330.886,93.8346,-0.176292,1.39819,160.508,455.14,589.607,770.358,0.756629,,259.357,168.032,129.157
393.328,-0.214335,3.99804,439.222,236.099,0.284861,2.09712,280.604,123.815,-1.3394,5.52278,280.293,606.32,911.155,748.563,1.90092,,494.879,176.047,121.673
139.614,-2.56138,1.6661,921.056,207.098,-0.78944,5.99487,323.774,180.483,-1.25264,0.58886,366.15,585.43,757.403,1917.23,1.95442,,1058,144.534,131.836
34.1397,-1.09713,5.02859,172.855,76.8156,-0.297952,0.885736,181.829,75.767,-0.226355,0.804126,150.8,341.831,478.509,502.521,2.14033,,350.269,163.245,129.232
22.9392,-2.57336,3.51568,234.967,118.107,0.462549,1.64546,210.047,94.1388,-1.88771,5.01246,345.439,420.157,683.464,480.114,1.87022,,369.11,179.823,134.957
163.394,0.907775,1.98473,290.761,100.149,-0.000309936,3.10979,201.696,278.488,0.913522,5.74483,424.983,403.657,789.858,676.687,1.12506,,568.471,170.577,134.918
131.432,-0.853227,3.34016,211.244,271.83,-0.69391,5.49848,383.864,195.145,1.47597,1.55674,465.8,439.82,1055.99,524.525,2.15832,,424.258,106.819,123.224
90.3488,-1.48431,0.69366,272.39,56.8107,-2.52384,4.90778,465.303,157.324,-0.21047,1.7147,207.808,494.797,731.872,434.84,2.06906,,400.862,174.032,131.608
29.832,-2.89656,2.44841,332.299,33.9082,1.98527,5.95345,212.211,65.5363,-2.47199,1.00204,407.555,523.807,784.661,440.086,2.77814,,281.429,192.338,115.188
122.538,-0.941665,0.079975,245.519,242.235,1.55296,1.02616,625.158,53.4266,-1.46548,4.97469,179.575,691.88,956.493,711.589,0.946183,,408.502,165.884,131.927
221.209,-1.75194,3.17113,675.502,43.827,-2.45271,1.46938,300.789,96.5192,-1.66168,3.21031,287.337,381.697,501.62,550.393,1.70175,,408.326,157.422,114.816
161.967,-1.97354,3.01274,614.846,107.762,-2.13539,5.30892,493.049,157.598,-1.7381,3.43067,481.346,412.694,576.278,406.177,2.29619,,406.177,158.663,135.268
113.424,-1.24888,3.61369,269.624,83.1437,-2.03504,5.78167,369.524,72.8349,-0.687023,2.03314,164.569,393.888,583.989,451.828,2.16798,,291.874,164.028,137.312
149.428,2.23866,4.19603,728.691,636.632,0.853397,2.46928,900.072,216.433,1.28975,5.66897,439.381,743.512,1148.66,1171.66,1.72676,,590.615,168.928,119.478
21.5106,3.04739,0.29971,280.933,267.479,1.07148,1.961,469.653,401.51,-0.696375,0.286416,516.351,408.347,1142.87,968.949,1.66129,,586.5,165.484,117.252
227.273,1.46351,3.12099,543.677,169.971,-0.650658,5.98752,285.206,84.9039,0.663627,4.84715,170.246,749.013,901.857,491.983,2.86652,,277.786,167.182,134.559
89.2217,-0.39379,5.91861,196.265,40.9266,-1.1349,5.31515,181.624,121.75,2.09024,2.84467,518.445,344.206,805.634,402.361,0.603458,,319.209,171.055,137.727
238.123,1.27435,2.53145,489.644,66.6987,-1.35157,5.10879,218.531,245.879,0.953671,6.19991,390.667,626.938,950.181,593.726,2.57734,,370.995,170.228,135.47
325.464,1.56131,1.8747,826.651,438.755,0.0498095,4.29994,466.385,73.7478,-0.413,3.86615,160.435,1003.26,1203.93,690.32,2.42524,,219.884,167.131,138.993
132.548,0.0199591,5.9048,217.612,185.146,-0.257005,0.488451,269.86,57.9928,-2.26267,6.04917,312.712,389.803,647.232,965.932,0.866835,,463.639,172.565,135.902
53.3861,-2.04871,5.6793,260.241,212.081,1.57158,1.57564,560.335,107.509,0.0414452,5.93666,162.551,746.546,917.061,507.626,2.17953,,305.214,152.99,121.839
113.844,0.00123734,5.47011,205.047,233.649,-1.06483,2.04453,417.039,69.2979,-2.49685,1.34892,438.191,530.526,757.426,404.075,2.85761,,287.417,170.54,112.005
76.4395,-1.57914,3.76257,255.636,146.836,-2.24548,1.64884,721.327,218.19,0.960557,5.4829,347.822,439.98,1166.93,653.053,2.11374,,389.1,167.316,119.006
63.2412,2.61771,3.62728,463.32,149.273,2.7183,1.02796,1149.11,158.761,1.21942,4.17092,320.198,406.185,693.603,409.404,2.59932,,291.864,157.729,131.009
52.4547,-1.58995,1.97252,221.187,144.539,1.27238,5.49642,328.54,85.6687,1.05728,5.98399,178.328,528.703,668.878,860.838,2.75929,,309.6,176.011,112.726
118.261,-2.5047,3.49267,744.371,105.436,-1.78489,1.52086,359.097,113.542,-1.86384,5.16873,392.56,391.479,570.147,346.636,1.97181,,218.709,152.506,116.456
300.495,-1.48403,2.76983,717.822,231.14,-0.917304,0.145193,376.938,108.778,-0.341689,4.87742,176.537,644.773,886.864,543.061,2.62464,,366.725,172.607,133.778
63.1904,-1.623,1.56197,225.449,61.2597,-2.87397,3.00047,564.381,73.5963,-1.65826,1.54816,243.003,364.262,516.261,489.053,1.4385,,211.568,152.149,137.727
142.141,-2.13202,0.862963,631.034,345.446,0.23224,2.79462,387.732,89.5814,-2.05388,6.11279,373.124,820.394,1069.6,847.984,1.93166,,573.532,170.073,114.801
52.9171,0.614538,4.05986,168.977,45.377,-2.41657,0.445851,307.307,106.272,0.968856,4.09167,209.261,422.956,667.631,409.845,2.66918,,290.15,156.702,134.664
346.391,-1.33312,2.89787,721.874,259.958,0.501563,6.0549,321.447,137.76,-0.784637,0.437348,218.593,924.713,1109.02,727.379,3.12615,,496.655,165.818,120.491
178.834,-1.45415,4.21926,436.289,101.667,-1.68449,1.36832,324.335,105.296,-0.367594,3.40599,173.842,422.657,628.352,636.334,2.85094,,413.71,165.525,132.54
89.9717,-2.51461,3.64874,585.222,89.3604,-2.99325,4.72434,907.394,69.274,-1.58043,6.09164,210.138,354.871,556.057,348.208,1.0756,,266.63,170.798,115.782
181.38,-1.19364,4.72148,356.296,39.075,-1.41932,2.04191,169.475,140.421,0.624396,1.95654,217.274,365.744,694.583,490.377,2.67957,,260.825,142.22,136.93
302.529,1.05953,5.90158,512.283,226.099,1.04642,1.37044,593.745,215.958,1.05287,5.62539,367.412,813.348,1021.8,712.941,1.75205,,587.131,153.231,120.378
